ZINC17027347; 0.960; OC[C@@H]1O[C@@H]([C@@H]([C@H]1O)O)n1c(=O)[nH]c(=O)[nH]c1=O
ZINC96332106; 0.884; O[C@]12O[C@]2(O)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)CO
ZINC12652408; 0.882; OCC1OC(Sc2n[nH]c(=O)[nH]c2=O)C(C(C1O)O)O
ZINC03983963; 0.879; OC1COC(C(C1O)O)Sc1n[nH]c(=O)[nH]c1=O
ZINC08384271; 0.860; OC[C@@H]([C@H]([C@@H]([C@H]1Nc2n([C@H]1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC20573455; 0.857; OC(=O)C[C@@H](C(=O)O)NC=C1C(=O)NC(=O)NC1=O
ZINC43763830; 0.846; OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)NS(=O)(=O)O
ZINC03869698; 0.846; OCC1OC(O)C(C(C1O)O)NS(=O)(=O)O
ZINC17111802; 0.845; OCC(C(C(C1Nc2n(C1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC17111801; 0.845; OCC(C(C(C1Nc2n(C1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC17111799; 0.845; OCC(C(C(C1Nc2n(C1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC17111797; 0.845; OCC(C(C(C1Nc2n(C1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC16136382; 0.845; OC(=O)c1nonc1NCNc1nonc1C(=O)O
ZINC08384274; 0.845; OCC(C(C(C1Nc2n(C1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC44171711; 0.842; O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)NS(=O)(=O)O
ZINC43763831; 0.841; OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NS(=O)(=O)O
ZINC04095529; 0.841; OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O)O)NS(=O)(=O)O
ZINC04095585; 0.840; OCC(COP(=O)(OC1C(O)C(O)C(C(C1O)O)O)O)O
ZINC03983804; 0.839; OCC1OC(C(C1O)O)Sc1n[nH]c(=O)[nH]c1=O
ZINC08384268; 0.838; OC[C@@H]([C@@H]([C@@H]([C@H]1Nc2n([C@H]1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC08996391; 0.837; OC(=O)C[C@H](C(=O)O)N=CC1C(=O)NC(=O)NC1=O
ZINC08996390; 0.837; OC(=O)C[C@@H](C(=O)O)N=CC1C(=O)NC(=O)NC1=O
ZINC08384270; 0.834; OC[C@H]([C@@H]([C@@H]([C@H]1Nc2n([C@H]1O)c(=O)[nH]c(=O)c2[N+](=O)[O-])O)O)O
ZINC20573454; 0.832; OC(=O)C[C@H](C(=O)O)NC=C1C(=O)NC(=O)NC1=O
ZINC22054619; 0.830; OC[C@H]1O[C@H]([C@H]([C@H]1O)O)n1cnc2c1nc(Cl)[nH]c2=O
ZINC13507717; 0.828; OC[C@H](CO[P@](=O)(O[C@@H]1[C@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O)O)O
ZINC16431590; 0.827; OC1COC2(C(C1O)O)Oc1cccnc1N(C2=O)O
ZINC22054622; 0.820; OC[C@H]1O[C@H]([C@@H]([C@H]1O)O)n1cnc2c1nc(Cl)[nH]c2=O
ZINC16952229; 0.820; OC[C@H]1O[C@@H](Nc2cc(=O)[nH]c(n2)OC)[C@@H]([C@H]([C@@H]1O)O)O
ZINC83302702; 0.819; OCC1OC(CC1O)N1CC(C)(C(=O)N=C1O)P(=O)(O)O
ZINC83302700; 0.819; OC[C@H]1O[C@H](C[C@H]1O)N1C[C@@](C)(C(=O)N=C1O)P(=O)(O)O
ZINC96332246; 0.818; OCC1OC(S)(CC(=O)NOS(=O)(=O)O)C(C(C1O)O)O
ZINC38580966; 0.817; OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)[nH]c2=O
ZINC82315611; 0.816; OC(=O)CNc1sc(c(c1C(=O)O)C)C(=O)O
ZINC45028220; 0.814; OC[C@H]([C@@H]1O[C@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC05178939; 0.814; OC[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC22049218; 0.810; OC[C@H]1O[C@H]([C@@H]([C@H]1O)O)n1cnc2c1nc(F)[nH]c2=O
ZINC04545948; 0.810; O=C[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NS(=O)(=O)O
ZINC03860865; 0.810; OC[C@H]([C@H]1O[C@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC82313551; 0.809; CC(=NNC(=O)c1nccnc1C(=O)O)C(=O)O
ZINC05464706; 0.808; O=C1NC(=O)C(C(=O)N1)(O)C1=C(O)CCCC1=O
ZINC04545947; 0.806; O=CC(C(C(C(CO)O)O)O)NS(=O)(=O)O
ZINC04545946; 0.806; O=CC(C(C(C(CO)O)O)O)NS(=O)(=O)O
ZINC04545945; 0.806; O=CC(C(C(C(CO)O)O)O)NS(=O)(=O)O
ZINC03644513; 0.806; O=CC(C(C(C(CO)O)O)O)NS(=O)(=O)O
ZINC38545495; 0.805; OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1CN=C2C1=NC(=O)NC2=O
ZINC03855460; 0.805; OCC(N=CC1C(=O)NC(=O)NC1=O)(CO)CO
ZINC03830527; 0.805; OC[C@H]([C@@H]1O[C@@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC03830524; 0.804; OC[C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC16957502; 0.803; OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc2c1nc(F)[nH]c2=O
ZINC03830526; 0.803; OC[C@@H]([C@@H]1O[C@@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC88466263; 0.802; OC[C@@]1(O)O[C@@H]([C@H]([C@H]1O)O)CO[P@](=O)(P)O
ZINC22049214; 0.802; OCC1OC(C(C1O)O)n1cnc2c1nc(F)[nH]c2=O
ZINC20572456; 0.800; OC(=O)C[C@@H](C(=O)O)NC=C1C(=O)NC(=O)N(C1=O)C
ZINC12360714; 0.800; O[C@H]1[C@H](O)[C@@H](O[C@@H]1n1cnc2c1nc(N)[nH]c2=O)CP(=O)(O)O
ZINC01684192; 0.800; OC[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]1O)O[C@@H](O2)C(Cl)(Cl)Cl)O
ZINC16952248; 0.799; OC[C@@H]1O[C@H](Nc2nc(OC)[nH]c(=O)c2C(=O)C)[C@H]([C@@H]([C@H]1O)O)O
ZINC05131996; 0.799; OC[C@H]([C@H]1O[C@H]2[C@@H]([C@H]1O)O[C@@H](O2)C(Cl)(Cl)Cl)O
ZINC03830525; 0.799; OC[C@H]([C@H]1O[C@@H]2[C@@H]([C@H]1O)O[C@H](O2)C(Cl)(Cl)Cl)O
ZINC88466261; 0.798; OC[C@@]1(O)O[C@@H]([C@@H]([C@H]1O)O)CO[P@](=O)(P)O
ZINC08914624; 0.798; OC(=O)CC[C@@H](C(=O)O)N=CC1C(=O)NC(=S)NC1=O
ZINC12362048; 0.797; OCC(NC=C1C(=O)NC(=O)NC1=O)(CO)CO
ZINC08914625; 0.797; OC(=O)CC[C@H](C(=O)O)N=CC1C(=O)NC(=S)NC1=O
ZINC61854983; 0.796; O=C1NC(=O)C(C(=O)N1)(O)Nc1ccccc1C(=O)O
ZINC13515112; 0.796; OCC(C1OC(=O)C(=C1O)OC1OC(CO)C(C(C1O)O)O)O
ZINC12360712; 0.796; O[C@@H]1[C@H](O)[C@@H](O[C@@H]1n1cnc2c1nc(N)[nH]c2=O)CP(=O)(O)O
ZINC03943769; 0.796; OCC(C1OC(=O)C(=C1O)OC1OC(CO)C(C(C1O)O)O)O
ZINC72194476; 0.795; OC[C@H]([C@H]([C@@H]([C@](S(=O)(=O)O)(C=O)N)O)O)O
ZINC38030489; 0.795; OC(=O)Cn1ncc(c1)NS(=O)(=O)c1c[nH]nc1
ZINC16952436; 0.794; OC[C@H]1O[C@@H](Nc2nc(OC)[nH]c(=O)c2Cl)[C@@H]([C@H]([C@@H]1O)O)O
ZINC12658162; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC12358688; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC12358687; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC08972164; 0.794; OC(=O)C[C@@H](C(=O)O)N=C[C@H]1C(=O)NC(=O)N(C1=O)C
ZINC05226618; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC04027272; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC03881598; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC02990163; 0.794; O=C1NC(=O)C(C(=O)N1)C=C1C(=O)NC(=O)NC1=O
ZINC01482002; 0.794; OCC(C1OC2C(C1O)OC(O2)C(Cl)(Cl)Cl)O
ZINC13165770; 0.793; OC[C@@H]1O[C@H](O)[C@@H]([C@@H]([C@@H]1O)O)N=C[C@@H]1C(=O)NC(=O)N(C1=O)C
ZINC01719141; 0.793; [O-][N+](=O)c1cc(cc2c1[nH]c(c2C(=O)O)C(=O)O)[N+](=O)[O-]
ZINC31176438; 0.792; OC[C@H]1O[C@H]([C@]([C@@H]1O)(O)F)n1cc(C)c(=O)[nH]c1=O
ZINC13549475; 0.792; OCC1OC(SC(=NOS(=O)(=O)O)C)C(C(C1O)O)O
ZINC08972166; 0.792; OC(=O)C[C@H](C(=O)O)N=C[C@H]1C(=O)NC(=O)N(C1=O)C
ZINC25515719; 0.791; O=C1NC(=O)C(=NNc2cc(cc(c2)C(=O)O)C(=O)O)C(=O)N1
ZINC03308180; 0.791; OC(=O)CNS(=O)(=O)c1cc(ccc1C(=O)O)C(=O)O
ZINC03120960; 0.791; OC(=O)c1cc(C(=O)O)c(nc1C(=O)N)C(=O)N
ZINC79272843; 0.790; O[P@H](=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
ZINC16953131; 0.788; OC[C@@H]1O[C@H](Nc2nc(OC)[nH]c(=O)c2N)[C@H]([C@@H]([C@H]1O)O)O
ZINC05454319; 0.788; OCC(NC=C1C(=O)NC(=O)NC1=O)(CO)CO
ZINC20459180; 0.786; O[C@H]1[C@H](O)[C@@H](O[C@H]1n1cnc2c1nc(N)[nH]c2=O)CP(=O)(O)O
ZINC02018635; 0.786; OC[C@@H]([C@@H]1O[C@H]2[C@@H]([C@@H]1O)O[C@@H](O2)C(Cl)(Cl)Cl)O
ZINC96331914; 0.785; CC(=O)OC(C1OC(=O)C(=C1O)O)(C(OC(=O)C)O)O
ZINC96331913; 0.785; CC(=O)OC(C1OC(=O)C(=C1O)O)(C(OC(=O)C)O)O
ZINC39133664; 0.785; OCC(C1OC(=O)C(=C1O)NS(=O)(=O)C)O
ZINC39133663; 0.785; OCC(C1OC(=O)C(=C1O)NS(=O)(=O)C)O
ZINC17206270; 0.785; OC[C@@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O)O)N=C[C@H]1C(=O)NC(=O)N(C1=O)C
ZINC16953253; 0.785; COC1OC(CS(=O)(=O)O)C(C(C1O)O)O
ZINC30729629; 0.784; OC[C@H]1O[C@@H](O[C@@H]2Oc3ccccc3N(C2=O)O)[C@@H]([C@H]([C@@H]1O)O)O
ZINC05613346; 0.784; OC[C@@H]1O[C@H](Sc2[nH]cnc3c2ncn3)[C@@H]([C@@H]([C@@H]1O)O)O
ZINC86865138; 0.783; OC[C@H]([C@@H]([C@H]1O[C@](O)(C[C@H]([C@@H]1NC(=O)C)O)C(=O)OC)O)O
ZINC28884893; 0.783; [N-]([N+]#N)C1(CO)OC(C(C1O)O)n1ccc(=O)[nH]c1=O
ZINC20113632; 0.783; O=CN(CP(=O)(CC(C(=O)O)CC(=O)O)O)C
ZINC20113629; 0.783; O=CN(C[P@@](=O)(C[C@H](C(=O)O)CC(=O)O)O)C
ZINC20113626; 0.783; O=CN(C[P@](=O)(C[C@H](C(=O)O)CC(=O)O)O)C
ZINC17164713; 0.783; OC[C@H]1O[C@H](Sc2[nH]cnc3c2ncn3)[C@H]([C@H]([C@@H]1O)O)O
ZINC02129443; 0.783; O=CN(CP(=O)(CC(C(=O)O)CC(=O)O)O)C
ZINC02129442; 0.783; O=CN(C[P@@](=O)(C[C@H](C(=O)O)CC(=O)O)O)C
ZINC02129441; 0.783; O=CN(C[P@](=O)(C[C@H](C(=O)O)CC(=O)O)O)C
ZINC05613351; 0.782; OC[C@@H]1O[C@@H](Sc2[nH]cnc3c2ncn3)[C@@H]([C@@H]([C@@H]1O)O)O
ZINC95496231; 0.781; NNC(=O)c1nc(C(=O)O)c(c(c1C(=O)NN)Cl)C(=O)O
ZINC04104919; 0.781; CO[C@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)O)CS(=O)(=O)O
ZINC09242612; 0.780; OC[C@@H]1O[C@H](O)[C@H]([C@@H]([C@@H]1O)O)N=C[C@@H]1C(=O)NC(=O)N(C1=O)C
