16919ChEMBLOSDD,CN(CC(O)=O)C(N)=N
57427ChEMBLOSDD,CC(C)C[C@H](N)C(O)=O
16828ChEMBLOSDD,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
17561ChEMBLOSDD,N[C@@H](CS)C(O)=O
18385ChEMBLOSDD,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
28934ChEMBLOSDD,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
53486ChEMBLOSDD,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
16349ChEMBLOSDD,N[C@@H](CCCNC(N)=O)C(O)=O
16857ChEMBLOSDD,C[C@@H](O)[C@H](N)C(O)=O
16908ChEMBLOSDD,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
27470ChEMBLOSDD,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
28364ChEMBLOSDD,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
16977ChEMBLOSDD,C[C@H](N)C(O)=O
16414ChEMBLOSDD,CC(C)[C@H](N)C(O)=O
17336ChEMBLOSDD,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
18145ChEMBLOSDD,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
16709ChEMBLOSDD,CC1=C(O)C(CO)=C(CO)C=N1
30314ChEMBLOSDD,OC(=O)CCCC[C@@H]1CCSS1
58045ChEMBLOSDD,CC[C@H](C)[C@H](N)C(O)=O
2877ChEMBLOSDD,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
28940ChEMBLOSDD,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
28869ChEMBLOSDD,CC1=CC(=O)C2=CC=CC=C2C1=O
15422ChEMBLOSDD,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
17203ChEMBLOSDD,OC(=O)[C@@H]1CCCN1
16708ChEMBLOSDD,NC1=C2NC=NC2=NC=N1
58048ChEMBLOSDD,N[C@@H](CC(N)=O)C(O)=O
63618ChEMBLOSDD,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
5138ChEMBLOSDD,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
9927ChEMBLOSDD,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
8774ChEMBLOSDD,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
73468ChEMBLOSDD,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
5106ChEMBLOSDD,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
2972ChEMBLOSDD,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
132233ChEMBLOSDD,CC(N)CC1=CC=CC=C1
31974ChEMBLOSDD,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
17688ChEMBLOSDD,CN1CCC[C@H]1C1=CN=CC=C1
3568ChEMBLOSDD,CC1O[C@@]2(CS1)CN1CCC2CC1
