ZINC04217381; 0.920; OCC1OC(C(C1O)O)C1=NNC(C1=O)C(=O)N
ZINC05085276; 0.913; OCC1OC(C(C1O)O)c1n[nH]c(c1O)C(=O)N
ZINC05085274; 0.900; OC[C@H]1O[C@H]([C@H]([C@H]1O)O)c1n[nH]c(c1O)C(=O)N
ZINC25663049; 0.821; OCC(/N=C\c1cccc(c1O)[N+](=O)[O-])(CO)CO
ZINC35185490; 0.814; OCC1OC(O)C(C(C1O)O)/N=C/c1cc(ccc1O)[N+](=O)[O-]
ZINC31160927; 0.813; OC[C@H]1O[C@@H]([C@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC35457139; 0.811; OC[C@@H]1O[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC31160915; 0.809; OC[C@@H]1O[C@H]([C@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC35457151; 0.808; OC[C@@H]1O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC35185488; 0.806; OCC1OC(O)C(C(C1O)O)/N=C/c1cc(ccc1O)[N+](=O)[O-]
ZINC31160923; 0.806; OCC1OC(C(C(C1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC31160919; 0.806; OCC1OC(C(C(C1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC17142030; 0.806; ONC(=CC(=O)c1ccc(cc1O)O)C(=O)NO
ZINC35457147; 0.805; OC[C@@H]1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC71778747; 0.803; ONC(=CC(=O)c1ccc(cc1O)O)C(=O)NO
ZINC71778746; 0.803; ONC(=CC(=O)c1ccc(cc1O)O)C(=O)NO
ZINC35457143; 0.803; OC[C@@H]1O[C@H]([C@@H]([C@@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cco2
ZINC83483237; 0.802; OC[C@H](c1nnc(o1)c1cc(ccc1O)[N+](=O)[O-])N
ZINC25662987; 0.802; OCC(/N=C\c1cc(ccc1O)[N+](=O)[O-])(CO)CO
ZINC72196884; 0.796; COc1c(O)c(OC)cc(c1[C@@H](C(=O)O)N)[N+](=O)[O-]
ZINC19200253; 0.795; O=C(CSc1sc2c(n1)[nH]c(=O)cc2O)NCC(=O)O
ZINC04945728; 0.795; O=C(CSc1sc2c(n1)[nH]c(=O)cc2O)NCC(=O)O
ZINC05380690; 0.792; O=C1NC(=O)NC(=O)C1CC1C(=O)NC(=O)NC1=O
ZINC83494021; 0.788; N[C@H](C(=O)O)Cc1nnc(o1)c1cccc(c1O)F
ZINC83379968; 0.784; OC[C@H](c1nnc(o1)c1cc(C=O)ccc1O)N
