ZINC82814300; 0.942; CCOC(=O)c1cnn2c1n(cc2)C[C@H](CO)O
ZINC43753747; 0.937; COc1ccccc1N1C(=O)[C@@H]2[C@H](C1=O)[C@H]1C[C@@H]2[C@@H]([C@H]1O)O
ZINC05509637; 0.937; OCCN(c1nc(Cl)nc(n1)N(C)C)CCO
ZINC89878843; 0.936; OCC1CC(CN1c1nc2n(c1[N+](=O)[O-])cccc2)O
ZINC89878842; 0.936; OCC1CC(CN1c1nc2n(c1[N+](=O)[O-])cccc2)O
ZINC57916365; 0.936; CCOc1cc(C=O)cc2c1O[C@@H](C)C(=O)N2C[C@@H](CO)O
ZINC32750840; 0.936; O[C@@H](CN1C(=O)CN(C1=O)C)COCc1ccc2c(c1)OCO2
ZINC04770918; 0.936; O[C@@H]1[C@@H](O)[C@H]2C[C@@H]1[C@@H]1[C@H]2C(=O)N(C1=O)c1ccccc1Cl
ZINC00164053; 0.936; OC[C@H](C[n+]1c(Br)[nH]c2c1c(=O)n(C)c(=O)n2C)O
ZINC00352469; 0.934; OCC(Cn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C)O
ZINC00352467; 0.934; OC[C@H](Cn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C)O
ZINC19761299; 0.931; OC[C@H](CN1C(=O)[C@@H](CC)Oc2c1cc(C=O)cc2)O
ZINC19761297; 0.931; OCC(CN1C(=O)C(CC)Oc2c1cc(C=O)cc2)O
ZINC19761291; 0.931; OC[C@@H](CN1C(=O)[C@H](CC)Oc2c1cc(C=O)cc2)O
ZINC20366966; 0.929; OCc1oc(CN2CCSCC2)c(c(=O)c1)O
ZINC04489394; 0.929; OCc1oc(CN2CCSCC2)c(c(=O)c1)O
ZINC82814298; 0.928; CCOC(=O)c1cnn2c1n(cc2)C[C@@H](CO)O
ZINC57906403; 0.928; OC[C@@H](CN1c2cc(C=O)cc(c2OC(C1=O)(C)C)OC)O
ZINC57906400; 0.928; OCC(CN1c2cc(C=O)cc(c2OC(C1=O)(C)C)OC)O
ZINC57905711; 0.928; OCCN1C(=O)COc2c1cc(C=O)cc2OC
ZINC44559698; 0.928; COc1cc(=O)n(c2c1cccc2OC[C@H]([C@](OC)(O)C)O)C
ZINC00164055; 0.928; OCC(C[n+]1c(Br)[nH]c2c1c(=O)n(C)c(=O)n2C)O
ZINC96148886; 0.927; O=C(N1CCC(C(C1)O)(C)O)CSc1nnc(o1)C
ZINC96138567; 0.927; O=C(N1CCC(C(C1)O)(C)O)CSc1nnc(o1)C
ZINC82736582; 0.926; OC[C@H](Cn1ccnc1Cc1ccccc1[N+](=O)[O-])O
ZINC75171926; 0.926; O=C(C(=O)NC[C@@H](c1cocc1)O)Nc1cccnc1
ZINC96140093; 0.925; OC1CN(CCC1(C)O)c1cncc(n1)C(=O)N
ZINC95452276; 0.925; CCc1ccc(cc1)C(=O)NNC(=O)c1n(C)ncc1[N+](=O)[O-]
ZINC72143595; 0.925; OCC(NC(=O)C[C@@H]1C(=O)NCCN1Cc1ccccn1)CO
ZINC62262785; 0.925; COCc1c(CO)nnn1c1cccc(c1)[N+](=O)[O-]
ZINC57905729; 0.925; OCCCN1C(=O)COc2c1cc(C=O)cc2OC
