[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1	C07465KEGGOSDD
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1	C11806KEGGOSDD
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	C07572KEGGOSDD
[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	C07663KEGGOSDD
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C	C07257KEGGOSDD
CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1	C07053KEGGOSDD
[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1	C07669KEGGOSDD
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12	C07051KEGGOSDD
NC(N)=NCC1COC2(CCCCC2)O1	C07035KEGGOSDD
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	C07074KEGGOSDD
FC(F)OC(F)(F)C(F)Cl	C07516KEGGOSDD
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1	C07125KEGGOSDD
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O	C07765KEGGOSDD
NC1=CC(O)=C(C=C1)C(O)=O	C02518KEGGOSDD
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	C07224KEGGOSDD
BrCCC(=O)N1CCN(CC1)C(=O)CCBr	C07362KEGGOSDD
CCC(C)C1(CC)C(=O)NC(=O)NC1=O	C07827KEGGOSDD
CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1	C07263KEGGOSDD
