NCCC[C@H](N)C(O)=O	15729ChEMBLOSDD
N[C@@H](CCC(N)=O)C(O)=O	58359ChEMBLOSDD
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	16027ChEMBLOSDD
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	27432ChEMBLOSDD
N[C@@H](CO)C(O)=O	33384ChEMBLOSDD
CSCC[C@H](N)C(O)=O	16643ChEMBLOSDD
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	58315ChEMBLOSDD
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	17823ChEMBLOSDD
C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C	28838ChEMBLOSDD
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	16283ChEMBLOSDD
OC(=O)CCC(O)=O	15741ChEMBLOSDD
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	17015ChEMBLOSDD
[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO	17411ChEMBLOSDD
N[C@@H](CCC(O)=O)C(O)=O	16015ChEMBLOSDD
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	16856ChEMBLOSDD
CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O	18303ChEMBLOSDD
NCC(O)=O	15428ChEMBLOSDD
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	17933ChEMBLOSDD
CC1=NC=C(CO)C(C=O)=C1O	17310ChEMBLOSDD
CN(CC(O)=O)C(N)=N	16919ChEMBLOSDD
CC(C)C[C@H](N)C(O)=O	57427ChEMBLOSDD
N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	16828ChEMBLOSDD
N[C@@H](CS)C(O)=O	17561ChEMBLOSDD
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	18385ChEMBLOSDD
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	28934ChEMBLOSDD
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O	53486ChEMBLOSDD
N[C@@H](CCCNC(N)=O)C(O)=O	16349ChEMBLOSDD
C[C@@H](O)[C@H](N)C(O)=O	16857ChEMBLOSDD
NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	16908ChEMBLOSDD
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	27470ChEMBLOSDD
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	28364ChEMBLOSDD
C[C@H](N)C(O)=O	16977ChEMBLOSDD
CC(C)[C@H](N)C(O)=O	16414ChEMBLOSDD
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	17336ChEMBLOSDD
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	18145ChEMBLOSDD
CC1=C(O)C(CO)=C(CO)C=N1	16709ChEMBLOSDD
OC(=O)CCCC[C@@H]1CCSS1	30314ChEMBLOSDD
CC[C@H](C)[C@H](N)C(O)=O	58045ChEMBLOSDD
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O	2877ChEMBLOSDD
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	28940ChEMBLOSDD
CC1=CC(=O)C2=CC=CC=C2C1=O	28869ChEMBLOSDD
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	15422ChEMBLOSDD
OC(=O)[C@@H]1CCCN1	17203ChEMBLOSDD
NC1=C2NC=NC2=NC=N1	16708ChEMBLOSDD
