C00378KEGGOSDD,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
C05441KEGGOSDD,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
C03242KEGGOSDD,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
C00327KEGGOSDD,N[C@@H](CCCNC(N)=O)C(O)=O
C00188KEGGOSDD,C[C@@H](O)[C@H](N)C(O)=O
C00004KEGGOSDD,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
C00504KEGGOSDD,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
C06428KEGGOSDD,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
C00041KEGGOSDD,C[C@H](N)C(O)=O
C00183KEGGOSDD,CC(C)[C@H](N)C(O)=O
C17276KEGGOSDD,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
C02477KEGGOSDD,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
C00314KEGGOSDD,CC1=C(O)C(CO)=C(CO)C=N1
C16241KEGGOSDD,OC(=O)CCCC[C@@H]1CCSS1
C00407KEGGOSDD,CC[C@H](C)[C@H](N)C(O)=O
C11045KEGGOSDD,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
C05443KEGGOSDD,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
C05377KEGGOSDD,CC1=CC(=O)C2=CC=CC=C2C1=O
C00002KEGGOSDD,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
C00148KEGGOSDD,OC(=O)[C@@H]1CCCN1
C00147KEGGOSDD,NC1=C2NC=NC2=NC=N1
C00152KEGGOSDD,N[C@@H](CC(N)=O)C(O)=O
C01844KEGGOSDD,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
C07571KEGGOSDD,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
C10719KEGGOSDD,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
C07005KEGGOSDD,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
C07514KEGGOSDD,CC(N)CC1=CC=CC=C1
C00745KEGGOSDD,CN1CCC[C@H]1C1=CN=CC=C1
C06980KEGGOSDD,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
C07833KEGGOSDD,[H]C(Cl)=CC(O)(CC)C#C
C07438KEGGOSDD,CC(C)(N)CC1=CC=CC=C1
C07153KEGGOSDD,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
C07195KEGGOSDD,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
C06849KEGGOSDD,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
C08092KEGGOSDD,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
C01912KEGGOSDD,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
C08230KEGGOSDD,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
C07481KEGGOSDD,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
C07546KEGGOSDD,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
C07259KEGGOSDD,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
C07751KEGGOSDD,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
C07391KEGGOSDD,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
C06539KEGGOSDD,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
C06838KEGGOSDD,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
C07140KEGGOSDD,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
C07890KEGGOSDD,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
C07465KEGGOSDD,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1
C11806KEGGOSDD,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
C07572KEGGOSDD,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
C07663KEGGOSDD,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
C07257KEGGOSDD,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
C07053KEGGOSDD,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
C07669KEGGOSDD,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1
C07051KEGGOSDD,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
C07035KEGGOSDD,NC(N)=NCC1COC2(CCCCC2)O1
C07074KEGGOSDD,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
C07516KEGGOSDD,FC(F)OC(F)(F)C(F)Cl
C07125KEGGOSDD,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
C07765KEGGOSDD,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
C02518KEGGOSDD,NC1=CC(O)=C(C=C1)C(O)=O
C07224KEGGOSDD,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
C07362KEGGOSDD,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
C07827KEGGOSDD,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
C07263KEGGOSDD,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
C08074KEGGOSDD,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
